device_code,state_number,course,device_time,state,longitude,latitude,altitude,speed,accelerations,fuel_spent,satellitesvalid,hdop,valid,time
40911687,,133,1605542148,,43.4471243721077,56.234641684273875,0.0,7,,,,0,0.0,2020-11-16 15:55:48
40911687,,253,1605542151,,43.447006354911025,56.234636319855845,0.0,10,,,,0,0.0,2020-11-16 15:55:51
40911687,,247,1605542158,,43.44661207018574,56.23454512474932,0.0,11,,,,0,0.0,2020-11-16 15:55:58
40911687,,252,1605542160,,43.446520875079216,56.23452903149522,0.0,10,,,,0,0.0,2020-11-16 15:56:00
EEEEEEEEE137029,,87,1605542169,,43.32063675935395,54.92178620186676,0.0,0,,,,0,0.0,2020-11-16 15:56:09
861693030633911,,153,1605542170,,44.01964456867884,56.311358226535695,0.0,9,,,,0,0.0,2020-11-16 15:56:10
EEEEEEEEE121214,,14,1605542168,,43.29219461495341,54.91659880963075,0.0,0,,,,0,0.0,2020-11-16 15:56:08
EEEEEEEEE121224,,58,1605542170,,43.320752094341614,54.92179693070282,0.0,0,,,,0,0.0,2020-11-16 15:56:10
861693030633911,,148,1605542169,,44.01963115763376,56.311385048625844,0.0,8,,,,0,0.0,2020-11-16 15:56:09
356850080456138,,0,1605542165,,43.90890956947322,56.32082642436047,0.0,0,,,,0,0.0,2020-11-16 15:56:05
861693030633911,,150,1605542168,,44.019612382170656,56.31140114187994,0.0,6,,,,0,0.0,2020-11-16 15:56:08
60045265,,142,1605542159,,44.070955394783745,56.389843748507516,0.0,21,,,,0,0.0,2020-11-16 15:55:59
60045083,,227,1605542166,,44.19092607782011,56.28160806519017,0.0,0,,,,0,0.0,2020-11-16 15:56:06
60041538,,166,1605542170,,44.08629553487671,56.36588539843584,0.0,0,,,,0,0.0,2020-11-16 15:56:10
79118122,,167,1605542170,,44.04154664930923,56.38892333172004,0.0,34,,,,0,0.0,2020-11-16 15:56:10
60044532,,11,1605542165,,44.02279457171047,56.378149401018895,0.0,0,,,,0,0.0,2020-11-16 15:56:05
79422672,,130,1605542159,,44.10163571687919,56.35043130636924,0.0,41,,,,0,0.0,2020-11-16 15:55:59
60043310,,177,1605542166,,44.12238767466563,56.34087727785597,0.0,0,,,,0,0.0,2020-11-16 15:56:06
60044144,,144,1605542163,,44.074698878469576,56.353881821584395,0.0,0,,,,0,0.0,2020-11-16 15:56:03
26125074,,173,1605542166,,44.076316627691575,56.360501660118,0.0,6,,,,0,0.0,2020-11-16 15:56:06
79412459,,130,1605542166,,44.028002918704416,56.50243326474504,0.0,46,,,,0,0.0,2020-11-16 15:56:06
79117678,,48,1605542164,,44.309602846463584,56.43118488752078,0.0,54,,,,0,0.0,2020-11-16 15:56:04
60044284,,198,1605542169,,44.07453610190994,56.35412596546908,0.0,31,,,,0,0.0,2020-11-16 15:56:09
47497046,,193,1605542164,,44.83263343685135,56.13208819789162,0.0,0,,,,0,0.0,2020-11-16 15:56:04
47495263,,39,1605542166,,43.95068359187587,56.3748860537016,0.0,81,,,,0,0.0,2020-11-16 15:56:06
79412475,,211,1605542166,,44.07386064624271,56.35550941954262,0.0,0,,,,0,0.0,2020-11-16 15:56:06
1900995,,250,1605542173,,37.678987,55.788018,0.0,0,"X: 0.070312
Y: -0.046875
Z: -1.09082
",,,0,0.0,2020-11-16 15:56:13
EEEEEEEEE118651,,17,1605542171,,43.29059333617114,54.91585315552444,0.0,0,,,,0,0.0,2020-11-16 15:56:11
EEEEEEEEE121217,,198,1605542171,,43.34224999960099,54.91812230435156,0.0,23,,,,0,0.0,2020-11-16 15:56:11
100137790000000,,72,1605542172,,43.99247379135165,56.33051456332451,0.0,65,,,,0,0.0,2020-11-16 15:56:12
356850083601698,,0,1605050471,,43.91398967334861,56.32141651034388,0.0,0,,,,0,0.0,2020-11-10 23:21:11
356850083601698,,0,1605050592,,43.91400040218467,56.321437968016006,0.0,0,,,,0,0.0,2020-11-10 23:23:12
359136030713274,,189,1605542126,,43.90943260023124,56.32124484896689,0.0,0,,,,0,0.0,2020-11-16 15:55:26
356850083601698,,0,1605050713,,43.913997719975654,56.321454061270096,0.0,0,,,,0,0.0,2020-11-10 23:25:13
356850083601698,,0,1605050834,,43.91391457149617,56.321448696852066,0.0,0,,,,0,0.0,2020-11-10 23:27:14
356850083601698,,0,1605050955,,43.91390920707814,56.321437968016006,0.0,0,,,,0,0.0,2020-11-10 23:29:15
356850083601698,,0,1605051075,,43.9139360291683,56.32143260359798,0.0,0,,,,0,0.0,2020-11-10 23:31:15
EEEEEEEEE119121,,210,1605542171,,43.30993742759105,54.943780315794,0.0,25,,,,0,0.0,2020-11-16 15:56:11
868183035954663,,235,1605542172,,43.87683571406566,56.26688183664039,0.0,31,,,,0,0.0,2020-11-16 15:56:12
356850083601698,,0,1605051196,,43.913986991139595,56.32141651034388,0.0,0,,,,0,0.0,2020-11-10 23:33:16
39289272,,0,1605542167,,77.76493436604854,64.91086669147734,0.0,0,,,,0,0.0,2020-11-16 15:56:07
1900995,,247,1605542174,,37.679045,55.788008,0.0,2,"X: 0.068115
Y: -0.024658
Z: -1.080811
",,,0,0.0,2020-11-16 15:56:14
100137680000000,,59,1605541299,,44.04095471930712,56.30494774698861,0.0,15,,,,0,0.0,2020-11-16 15:41:39
EEEEEEEEE121222,,27,1605542172,,43.32084597165716,54.921807659538885,0.0,0,,,,0,0.0,2020-11-16 15:56:12
100000180000000,,137,1605542175,,43.30101908261446,54.93816913453354,0.0,20,,,,0,0.0,2020-11-16 15:56:15
109367000000000,,194,1605542173,,43.98219288419517,56.29234672903371,0.0,6,,,,0,0.0,2020-11-16 15:56:13
861693030633911,,138,1605542173,,44.01971698832226,56.31131531119144,0.0,8,,,,0,0.0,2020-11-16 15:56:13
861693030633911,,144,1605542172,,44.01969553065013,56.31133140444554,0.0,8,,,,0,0.0,2020-11-16 15:56:12
EEEEEEEEE118641,,182,1605542171,,43.292567442006565,54.91638423290951,0.0,0,,,,0,0.0,2020-11-16 15:56:11
357976066608936,,0,1605542071,,43.90911609956741,56.321008814573524,0.0,0,,,,0,0.0,2020-11-16 15:54:31
100137700000000,,208,1603847256,,43.82772714920056,56.22507156250651,0.0,26,,,,0,0.0,2020-10-28 01:07:36
